Name,Meta Critic,Cost,Class,Country,Whiskey Type
Bushmills Sherry Cask Reserve,8.35,$$$$,SingleMalt-like,Ireland,Malt
Singleton of Glen Ord 18yo,8.35,$$$$,SingleMalt-like,Scotland,Malt
Arran Malt Sherry Cask Finish,8.34,$$$$$,SingleMalt-like,Scotland,Malt
Glen Garioch 16yo Renaissance Chapter 2,8.34,$$$$,SingleMalt-like,Scotland,Malt
Arran Malt Pomerol Bordeaux Cask Finish,8.33,$$$$,SingleMalt-like,Scotland,Malt
Glencadam 12yo Port Wood Finish,8.33,$$$,SingleMalt-like,Scotland,Malt
Tomatin Cu Bocan Sherry Edition,8.33,$$$$,SingleMalt-like,Scotland,Malt
Bladnoch Samsara,8.32,$$$$,SingleMalt-like,Scotland,Malt
Glenfarclas 10yo,8.32,$$$,SingleMalt-like,Scotland,Malt
Balvenie 12yo Triple Cask,8.31,$$$$,SingleMalt-like,Scotland,Malt
Benrinnes 15yo F&F,8.31,$$$$,SingleMalt-like,Scotland,Malt
Jura 12yo Elixir,8.31,$$$,SingleMalt-like,Scotland,Malt
Dalmore 15yo,8.3,$$$$,SingleMalt-like,Scotland,Malt
Ohishi Sherry Cask,8.3,$$$$,SingleMalt-like,Scotland,Malt
Dalmore Cigar Malt Reserve,8.29,$$$$$,SingleMalt-like,Scotland,Malt
Glenfiddich Malt Master's Edition,8.29,$$$$,SingleMalt-like,Scotland,Malt
Bladnoch 15yo Adela,8.27,$$$$$,SingleMalt-like,Scotland,Malt
Jura 21yo 200th Anniversary,8.27,$$$$$,SingleMalt-like,Scotland,Malt
Kavalan Concertmaster Port Cask,8.27,$$$$,SingleMalt-like,Taiwan,Malt
Auchentoshan Three Wood,8.26,$$$$,SingleMalt-like,Scotland,Malt
Glen Moray 16yo,8.25,$$$,SingleMalt-like,Scotland,Malt
Bowmore Black Rock,8.24,$$,SingleMalt-like,Scotland,Malt
Dalmore King Alexander III,8.24,$$$$$,SingleMalt-like,Scotland,Malt
Wemyss Malts Velvet Fig,8.24,$$$,SingleMalt-like,Scotland,Malt
Aberlour 10yo,8.23,$$,SingleMalt-like,Scotland,Malt
